resume_id,version,changed_signal,job_id,job_title,blind_changed_score,blind_original_score,blind_score_difference,blind_absolute_difference
R1,name_changed,name,J1,Software Engineer,0.5279465,0.5279465,0.0,0.0
R1,name_changed,name,J2,Financial Analyst,0.19786957,0.19786957,0.0,0.0
R1,name_changed,name,J3,Marketing Coordinator,0.31979468,0.31979468,0.0,0.0
R1,name_changed,name,J4,Clinical Data Analyst,0.36482394,0.36482394,0.0,0.0
R1,name_changed,name,J5,Academic Advisor,0.32395762,0.32395762,0.0,0.0
R1,pronoun_changed,pronoun,J1,Software Engineer,0.5390453,0.5279465,0.011098802,0.011098802
R1,pronoun_changed,pronoun,J2,Financial Analyst,0.19861783,0.19786957,0.0007482618,0.0007482618
R1,pronoun_changed,pronoun,J3,Marketing Coordinator,0.31128424,0.31979468,-0.008510441,0.008510441
R1,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.36645976,0.36482394,0.0016358197,0.0016358197
R1,pronoun_changed,pronoun,J5,Academic Advisor,0.32161728,0.32395762,-0.0023403466,0.0023403466
R1,university_changed,university,J1,Software Engineer,0.5279465,0.5279465,0.0,0.0
R1,university_changed,university,J2,Financial Analyst,0.19786957,0.19786957,0.0,0.0
R1,university_changed,university,J3,Marketing Coordinator,0.31979468,0.31979468,0.0,0.0
R1,university_changed,university,J4,Clinical Data Analyst,0.36482394,0.36482394,0.0,0.0
R1,university_changed,university,J5,Academic Advisor,0.32395762,0.32395762,0.0,0.0
R2,name_changed,name,J1,Software Engineer,0.55754316,0.55754316,0.0,0.0
R2,name_changed,name,J2,Financial Analyst,0.15165822,0.15165822,0.0,0.0
R2,name_changed,name,J3,Marketing Coordinator,0.30028278,0.30028278,0.0,0.0
R2,name_changed,name,J4,Clinical Data Analyst,0.29679853,0.29679853,0.0,0.0
R2,name_changed,name,J5,Academic Advisor,0.3088352,0.3088352,0.0,0.0
R2,pronoun_changed,pronoun,J1,Software Engineer,0.554842,0.55754316,-0.0027011633,0.0027011633
R2,pronoun_changed,pronoun,J2,Financial Analyst,0.15450634,0.15165822,0.0028481185,0.0028481185
R2,pronoun_changed,pronoun,J3,Marketing Coordinator,0.31000996,0.30028278,0.00972718,0.00972718
R2,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.29727855,0.29679853,0.000480026,0.000480026
R2,pronoun_changed,pronoun,J5,Academic Advisor,0.31416422,0.3088352,0.005329013,0.005329013
R2,university_changed,university,J1,Software Engineer,0.55754316,0.55754316,0.0,0.0
R2,university_changed,university,J2,Financial Analyst,0.15165822,0.15165822,0.0,0.0
R2,university_changed,university,J3,Marketing Coordinator,0.30028278,0.30028278,0.0,0.0
R2,university_changed,university,J4,Clinical Data Analyst,0.29679853,0.29679853,0.0,0.0
R2,university_changed,university,J5,Academic Advisor,0.3088352,0.3088352,0.0,0.0
R3,name_changed,name,J1,Software Engineer,0.31200075,0.31200075,0.0,0.0
R3,name_changed,name,J2,Financial Analyst,0.4203924,0.4203924,0.0,0.0
R3,name_changed,name,J3,Marketing Coordinator,0.292575,0.292575,0.0,0.0
R3,name_changed,name,J4,Clinical Data Analyst,0.40709084,0.40709084,0.0,0.0
R3,name_changed,name,J5,Academic Advisor,0.2955686,0.2955686,0.0,0.0
R3,pronoun_changed,pronoun,J1,Software Engineer,0.3146236,0.31200075,0.0026228428,0.0026228428
R3,pronoun_changed,pronoun,J2,Financial Analyst,0.41760096,0.4203924,-0.0027914345,0.0027914345
R3,pronoun_changed,pronoun,J3,Marketing Coordinator,0.2865281,0.292575,-0.006046891,0.006046891
R3,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.4057079,0.40709084,-0.001382947,0.001382947
