resume_id,version,changed_signal,job_id,job_title,similarity_score
R1,original,none,J1,Software Engineer,0.5290747
R1,original,none,J2,Financial Analyst,0.1703171
R1,original,none,J3,Marketing Coordinator,0.3192039
R1,original,none,J4,Clinical Data Analyst,0.32627162
R1,original,none,J5,Academic Advisor,0.33729
R1,name_changed,name,J1,Software Engineer,0.5041133
R1,name_changed,name,J2,Financial Analyst,0.1914742
R1,name_changed,name,J3,Marketing Coordinator,0.32998914
R1,name_changed,name,J4,Clinical Data Analyst,0.3664446
R1,name_changed,name,J5,Academic Advisor,0.33626312
R1,pronoun_changed,pronoun,J1,Software Engineer,0.54090154
R1,pronoun_changed,pronoun,J2,Financial Analyst,0.17721194
R1,pronoun_changed,pronoun,J3,Marketing Coordinator,0.31725374
R1,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.33832353
R1,pronoun_changed,pronoun,J5,Academic Advisor,0.34259635
R1,university_changed,university,J1,Software Engineer,0.52815497
R1,university_changed,university,J2,Financial Analyst,0.18947956
R1,university_changed,university,J3,Marketing Coordinator,0.33141577
R1,university_changed,university,J4,Clinical Data Analyst,0.3382836
R1,university_changed,university,J5,Academic Advisor,0.3478606
R2,original,none,J1,Software Engineer,0.5248364
R2,original,none,J2,Financial Analyst,0.1637573
R2,original,none,J3,Marketing Coordinator,0.3476149
R2,original,none,J4,Clinical Data Analyst,0.2939998
R2,original,none,J5,Academic Advisor,0.34222186
R2,name_changed,name,J1,Software Engineer,0.52441764
R2,name_changed,name,J2,Financial Analyst,0.14564317
R2,name_changed,name,J3,Marketing Coordinator,0.3189863
R2,name_changed,name,J4,Clinical Data Analyst,0.322793
R2,name_changed,name,J5,Academic Advisor,0.33433777
R2,pronoun_changed,pronoun,J1,Software Engineer,0.53536844
R2,pronoun_changed,pronoun,J2,Financial Analyst,0.1669474
R2,pronoun_changed,pronoun,J3,Marketing Coordinator,0.361305
R2,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.30747515
R2,pronoun_changed,pronoun,J5,Academic Advisor,0.35213876
R2,university_changed,university,J1,Software Engineer,0.5332266
R2,university_changed,university,J2,Financial Analyst,0.16093858
R2,university_changed,university,J3,Marketing Coordinator,0.34079084
R2,university_changed,university,J4,Clinical Data Analyst,0.28610814
R2,university_changed,university,J5,Academic Advisor,0.34815067
R3,original,none,J1,Software Engineer,0.31115162
R3,original,none,J2,Financial Analyst,0.38287914
R3,original,none,J3,Marketing Coordinator,0.312993
R3,original,none,J4,Clinical Data Analyst,0.3570248
R3,original,none,J5,Academic Advisor,0.32180834
R3,name_changed,name,J1,Software Engineer,0.32800537
R3,name_changed,name,J2,Financial Analyst,0.3744631
R3,name_changed,name,J3,Marketing Coordinator,0.29700735
R3,name_changed,name,J4,Clinical Data Analyst,0.3903155
R3,name_changed,name,J5,Academic Advisor,0.31328917
R3,pronoun_changed,pronoun,J1,Software Engineer,0.31511495
R3,pronoun_changed,pronoun,J2,Financial Analyst,0.3913412
R3,pronoun_changed,pronoun,J3,Marketing Coordinator,0.31682375
R3,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.36815077
R3,pronoun_changed,pronoun,J5,Academic Advisor,0.33054513
R3,university_changed,university,J1,Software Engineer,0.32315242
R3,university_changed,university,J2,Financial Analyst,0.40516555
R3,university_changed,university,J3,Marketing Coordinator,0.31731978
R3,university_changed,university,J4,Clinical Data Analyst,0.34879494
R3,university_changed,university,J5,Academic Advisor,0.33284587
R4,original,none,J1,Software Engineer,0.28995848
R4,original,none,J2,Financial Analyst,0.4611206
R4,original,none,J3,Marketing Coordinator,0.2943611
R4,original,none,J4,Clinical Data Analyst,0.47178122
R4,original,none,J5,Academic Advisor,0.27400476
R4,name_changed,name,J1,Software Engineer,0.2923236
R4,name_changed,name,J2,Financial Analyst,0.4714813
R4,name_changed,name,J3,Marketing Coordinator,0.3157191
R4,name_changed,name,J4,Clinical Data Analyst,0.48679882
R4,name_changed,name,J5,Academic Advisor,0.32352573
R4,pronoun_changed,pronoun,J1,Software Engineer,0.28670257
R4,pronoun_changed,pronoun,J2,Financial Analyst,0.46211472
R4,pronoun_changed,pronoun,J3,Marketing Coordinator,0.30071005
R4,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.48637256
R4,pronoun_changed,pronoun,J5,Academic Advisor,0.26661837
R4,university_changed,university,J1,Software Engineer,0.29534656
R4,university_changed,university,J2,Financial Analyst,0.47218972
R4,university_changed,university,J3,Marketing Coordinator,0.30297765
R4,university_changed,university,J4,Clinical Data Analyst,0.47641233
R4,university_changed,university,J5,Academic Advisor,0.313757
R5,original,none,J1,Software Engineer,0.24373028
R5,original,none,J2,Financial Analyst,0.17919317
R5,original,none,J3,Marketing Coordinator,0.46365368
R5,original,none,J4,Clinical Data Analyst,0.22671705
R5,original,none,J5,Academic Advisor,0.30251816
R5,name_changed,name,J1,Software Engineer,0.31104058
R5,name_changed,name,J2,Financial Analyst,0.1703969
R5,name_changed,name,J3,Marketing Coordinator,0.4708661
R5,name_changed,name,J4,Clinical Data Analyst,0.25429112
R5,name_changed,name,J5,Academic Advisor,0.30936676
R5,pronoun_changed,pronoun,J1,Software Engineer,0.2475004
R5,pronoun_changed,pronoun,J2,Financial Analyst,0.18483934
R5,pronoun_changed,pronoun,J3,Marketing Coordinator,0.46960434
R5,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.22530092
R5,pronoun_changed,pronoun,J5,Academic Advisor,0.31214178
R5,university_changed,university,J1,Software Engineer,0.23962161
R5,university_changed,university,J2,Financial Analyst,0.1761707
R5,university_changed,university,J3,Marketing Coordinator,0.4534335
R5,university_changed,university,J4,Clinical Data Analyst,0.22973573
R5,university_changed,university,J5,Academic Advisor,0.30553824
R6,original,none,J1,Software Engineer,0.25707978
R6,original,none,J2,Financial Analyst,0.18331283
R6,original,none,J3,Marketing Coordinator,0.510098
R6,original,none,J4,Clinical Data Analyst,0.31213978
R6,original,none,J5,Academic Advisor,0.29534435
R6,name_changed,name,J1,Software Engineer,0.2552702
R6,name_changed,name,J2,Financial Analyst,0.16246381
